,id,title,daoId,juniorDescription,middleDescription,seniorDescription,startAt,endAt,author,createdAt,snapshotId,discussionLink,snapshotLink,userId,issueNumber,seniorLength,middleLength,juniorLength,sum_sent_count,text_sent_count,sum_word_count,text_word_count,sum_char_count,text_char_count,sum_word_density,text_word_density,sum_sent_density,text_sent_density,sum_punc_count,text_punc_count,text_stopw_count,sum_stopw_count,sum_stopw_density,text_stopw_density,GPT4_summary,GPT3_5_turbo_summary
0,1,[1IP-07] Integrate Balancer Boosted Pools in the 1inch Aggregation Protocol,1,"The proposal is about integrating Balancer Boosted Pools into the 1inch Aggregation Protocol. This would allow 1inch to have access to cheap liquidity for trade routing, and position the 1inch agg...",This proposal calls for the integration of Balancer Boosted Pools into the 1inch Aggregation Protocol. This means that 1inch will start using Balancer Boosted Pools to provide liquidity for its tr...,Simple Summary. This proposal calls for the integration of [Balancer Boosted Pools]([link]) into the 1inch Aggregation Protocol. Abstract. This proposal aims to grow the kinds of liquidity sources...,1651554223000,1652159023000,0x824732d3f4eb94a20254cca9de10485ce445bb40,1657200979740,0x6358c27cd2d5a95e58095e5cc3b1b9a85d2c9af2a363b259431b53718b26dbb6,https://gov.1inch.io/t/1ip-07-integrate-balancer-boosted-pools-in-the-1inch-aggregation-protocol/3096,https://snapshot.org/#/1inch.eth/proposal/0x6358c27cd2d5a95e58095e5cc3b1b9a85d2c9af2a363b259431b53718b26dbb6,,1.0,4325,320,290,2,35,47,711,244,3634,0.191837,0.195598,0.041667,0.049157,3,110,255,18,0.375000,0.358146,"This proposal suggests adding Balancer Boosted Pools to the 1inch Aggregation Protocol. Once successful, 1inch Labs will get a BAL grant. Basically, Balancer Boosted Pools will be added to 1inch’s...",This proposal suggests integrating Balancer Boosted Pools into the 1inch Aggregation Protocol. The integration would expand the liquidity sources available to the 1inch Protocol and would be funde...
1,2,[1IP-06] Donation of 1inch DAO Treasury Funds to support Ukraine’s humanitarian crisis,1,"The 1inch DAO Treasury is proposing to donate 1 million USDC to support humanitarian aid within the country of Ukraine. The funds will be used to help civilians with repairing infrastructure, supp...","The 1inch DAO is proposing to donate 1 million USDC (a stablecoin) to support humanitarian aid within the country of Ukraine. The funds will be used to help with infrastructure, health facilities,...","Summary. 1inch Network was founded on core values of decentralization and open financial freedom, with a goal of improving the human condition for everyone on the planet. As one of the leading dAp...",1646760014000,1647364814000,0x824732d3f4eb94a20254cca9de10485ce445bb40,1657200981507,0xf4f712189924944dfd1cb438dc3235f4f4d5493f8c9db4df2e64c4d421c1f2d0,,https://snapshot.org/#/1inch.eth/proposal/0xf4f712189924944dfd1cb438dc3235f4f4d5493f8c9db4df2e64c4d421c1f2d0,,2.0,2631,365,302,2,23,46,426,257,2220,0.178295,0.191805,0.042553,0.053864,4,77,150,14,0.297872,0.351288,The 1inch Network wants to donate $1 million from their DAO Treasury to support humanitarian aid in Ukraine. The DAO Treasury is a kind of savings fund the network has built up from transaction fe...,"This proposal suggests donating 1 million USDC from the 1inch Network's treasury funds to provide humanitarian aid in Ukraine. The funds will be used to repair infrastructure, support health facil..."
2,3,[Temperature Check] Should the Uniswap community participate in the Protocol Guild Pilot?,2,"The Protocol Guild is a council of Ethereum protocol contributors who aim to address the challenges of attracting and retaining talent to work on the protocol. They propose that 500,000 UNI tokens...","The authors are proposing that 500,000 UNI (about $2.5 million at $5.19 per UNI) be allocated to support the ongoing work of core Ethereum protocol contributors through the Protocol Guild. The Pro...","Authors: [Trent]([link]) (PG Member), [Tim]([link]) (PG Member) Abstract. This is a proposal for the Uniswap community to support important Ethereum Public Goods through the Protocol Guild: a vest...",1654176425000,1654437600000,0x4c0a466df0628fe8699051b3ac6506653191cc21,1657200982022,0x7f196c3444623a33ac147d1676d84e45d3c4c56a94baa85547b77d6fab82faab,https://gov.uniswap.org/t/temperature-check-should-the-uniswap-community-participate-in-the-protocol-guild-pilot/16904,https://snapshot.org/#/uniswap/proposal/0x7f196c3444623a33ac147d1676d84e45d3c4c56a94baa85547b77d6fab82faab,,3.0,7165,504,330,2,53,57,1094,277,6113,0.205036,0.178934,0.034483,0.048402,10,317,384,20,0.344828,0.350685,"The authors of this proposal are suggesting that the Uniswap community helps fund core Ethereum projects through a program called the Protocol Guild. In essence, they're asking for 500k Uniswap (U...",This proposal suggests that the Uniswap community supports important Ethereum Public Goods through the Protocol Guild. They are proposing to allocate 500k UNI tokens (worth approximately $2.5 mill...
3,4,Aave V3 Harmony - Freeze Reserves,3,"The proposal is about freezing all reserves on the Aave V3 deployment on Harmony. This would disable the ability to deposit or borrow assets in the Aave V3 Market on Harmony, while still allowing ...","The Aave DAO Community, through the governance forum, has come to the rough consensus that actions should be taken to stabilize the Aave V3 Market on Harmony and limit the impact to the users, Pro...",title: Aave V3 Harmony - Freeze Reserves. status: Proposal. author: 3SE Holdings. Simple Summary. This ARC presents the community with a first step towards addressing the current issues with the A...,1657807792000,1658138400000,0xd2362dbb5aa708bc454ce5c3f11050c016764fa6,1658239945117,0x81a78109941e5e0ac6cb5ebf82597c839c20ad6821a8c3ff063dba39032533d4,https://governance.aave.com/t/aave-v3-harmony-freeze-reserves/8863,https://snapshot.org/#/aave.eth/proposal/0x81a78109941e5e0ac6cb5ebf82597c839c20ad6821a8c3ff063dba39032533d4,,4.0,1675,879,275,2,16,45,273,231,1403,0.193966,0.194444,0.043478,0.058394,5,34,100,17,0.369565,0.364964,"This proposal by 3SE Holdings aims to address the recent issues with the Aave V3 Market on Harmony, after an exploit on the Harmony's Horizon Bridge. The proposed solution is to freeze all reserve...",The proposal suggests freezing all reserves in the Aave V3 Market on Harmony to address the issues caused by the exploit on Harmony's Horizon Bridge. This means users won't be able to deposit or b...
4,5,Revised ARC: Add 1INCH as collateral,3,"The proposal seeks to add 1inch Networks 1INCH token as a collateral option in the Aave protocol. The 1INCH token is the governance and utility token for the 1inch Network, and has a number of ben...",1inch Network is a decentralized set of protocols that aim to improve the efficiency of the DeFi space. The 1INCH token is used to govern the protocols and is also in control of the protocols’ rev...,Summary. 1inch is a network of decentralized protocols designed to provide the fastest and most efficient operations in the DeFi space. 1inch Network was launched in May 2019 with the release of i...,1657638000000,1657983600000,0xc290cfb8d020c0615e9c63036f4319cc41717e68,1658239945766,0x2ea76814a0dfcad7ea1a7b3c597f059a8d574f8143886b23043918998505f5a7,https://governance.aave.com/t/arc-add-1inch-as-collateral/8056/12,https://snapshot.org/#/aave.eth/proposal/0x2ea76814a0dfcad7ea1a7b3c597f059a8d574f8143886b23043918998505f5a7,,5.0,11552,745,254,2,131,46,1869,209,9733,0.219048,0.192007,0.042553,0.070053,3,430,588,19,0.404255,0.314439,"This proposal suggests onboarding 1INCH, the token of the 1inch Network, as a collateral asset in Aave. The 1inch Network, which started in 2019, is a very popular and trusted decentralized exchan...",The proposal suggests adding the 1inch Network token (1INCH) as a collateral asset in Aave. 1inch Network is a decentralized platform that offers fast and efficient operations in the DeFi space. T...
5,6,Enable agEUR as a collateral in isolation mode on V3 on Polygon,3,"The proposal is to allow agEUR to be used as a collateral in isolation mode on AAVE V3 on Polygon. This would mean that people would be able to borrow agEUR against wETH, wstETH, and wBTC.","agEUR is a € stablecoin with a supply of 48.7m, a TVL in the protocol of $87m, and an average daily volume > $4m. It can be minted at oracle value meaning liquidity for it could be theoretically i...",Enable agEUR as a collateral in isolation mode on AAVE V3 on Polygon. Summary. Angle Protocol is a decentralized stablecoin protocol designed to be both over-collateralized and capital-efficient. ...,1657526400000,1657785600000,0xfda462548ce04282f4b6d6619823a7c64fdc0185,1658239946221,0x86e81f16aae0fa1af56abb2939cf63dbb8556ffdbc7a21d7ff738991a2a87de4,https://governance.aave.com/t/arc-enable-ageur-as-a-collateral-in-isolation-mode/8707/3,https://snapshot.org/#/aave.eth/proposal/0x86e81f16aae0fa1af56abb2939cf63dbb8556ffdbc7a21d7ff738991a2a87de4,,6.0,6590,885,188,2,68,36,1090,153,5507,0.233766,0.197894,0.054054,0.062328,4,374,393,14,0.378378,0.360220,"Angle Protocol wants to introduce agEUR, a Euro stablecoin, as a collateral in isolation mode on AAVE V3 on the Polygon network. The introduction of agEUR, which is backed by various assets like U...","The proposal suggests enabling agEUR as a collateral on AAVE V3 on the Polygon network. agEUR is a Euro stablecoin offered by Angle Protocol, which has a high supply and is well-established in the..."
6,7,UI/UX upgrade governance framework,3,"The proposal is about creating a governance framework for integrating third-party entities into the Aave app. This process will involve a thread being opened for discussion for at least 5 days, fo...","The Aave protocol is a bunch of smart contracts that work together. This protocol can be used by anyone, without permission, as long as they have the right tech knowledge.\r\n\r\nHowever, to make ...",[ARC] - UI/UX upgrade governance framework. The Aave protocol is a decentralized ecosystem of smart-contracts running on several EVM networks. This ecosystem is permisionless and anyone with the r...,1657195200000,1657440000000,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,1658239946822,0x5ef706871a7cfdd6024aea6041c7717feb9a9d328a168279720ae3262e0f170c,https://governance.aave.com/t/arc-ui-ux-upgrade-governance-framework/8638,https://snapshot.org/#/aave.eth/proposal/0x5ef706871a7cfdd6024aea6041c7717feb9a9d328a168279720ae3262e0f170c,,7.0,2820,814,296,2,24,52,450,247,2378,0.209677,0.189155,0.037736,0.053215,5,64,166,19,0.358491,0.368071,"The Aave protocol, a decentralized ecosystem of smart-contracts, has a user-friendly app for those with little tech knowledge. The app is open source and allows any developer to contribute to its ...","The proposal is to upgrade the user interface and user experience of the Aave application, which allows users to interact with the Aave protocol without technical knowledge. The aim is to standard..."
7,8,Add Reserve Rights (RSR) as a borrowable asset,3,The Reserve team would like to add borrowing support for RSR (Reserve Rights Token) on Aave. RSR is the governance token for the Reserve Protocol and both (a) insures and (b) governs the stablecoi...,The Reserve team is requesting that RSR (Reserve Rights Token) be listed as a borrowing asset on Aave.\r\nRSR is the governance token for the Reserve Protocol and both (a) insures and (b) governs ...,Add borrowing support for RSR (Reserve Rights Token) on Aave. References. Project description: [About the Project - Reserve]([link]) Project description: [link] Protocol description: [Introduction...,1657116000000,1657548000000,0xc6625129c9df3314a4dd604845488f4ba62f9db8,1658239947274,bafkreic2sezyt4xnxnp6uyrv7uyzrozmhe3cf6powbs4mnx6zod4vxk2km,,https://snapshot.org/#/aave.eth/proposal/bafkreic2sezyt4xnxnp6uyrv7uyzrozmhe3cf6powbs4mnx6zod4vxk2km,,8.0,8392,689,245,2,70,41,1356,205,7054,0.199029,0.192204,0.047619,0.051584,8,408,496,15,0.357143,0.365512,"The Reserve team is proposing to introduce borrowing support for Reserve Rights Token (RSR) on Aave, a decentralized finance platform. Reserve Rights is a governance token used in the Reserve Prot...","The proposal is to add support for borrowing the Reserve Rights Token (RSR) on Aave. RSR is the governance token for the Reserve Protocol, which creates and supports stablecoins. By listing RSR as..."
8,9,[BD & Marketing] Increasing Gelato’s Growth Budget,4,"The proposal is about allocating a marketing and business development budget for Gelato, which is a project aimed at making it easier for people to use decentralized applications (dapps) The budge...","The proposal is to allocate a Marketing & BD Budget of 5,250,000.00 GEL which is roughly 2.5% of the initial DAO treasury. This should enable Gelato to kickstart a more aggressive marketing and BD...","Link to proposal summary: [link] --- Requested Budget: Allocate a Marketing & BD Budget of 5,250,000.00 GEL which is roughly 2.5% of the initial DAO treasury. This should enable Gelato to kickstar...",1649812155000,1650071355000,0xaabb54394e8dd61dd70897e9c80be8de7c64a895,1658239947682,0x3b2303f75d9263796fe5a12b5f763ebe7bbd111bf7bcf4cd790d51891cdfb56c,,https://snapshot.org/#/gelato.eth/proposal/0x3b2303f75d9263796fe5a12b5f763ebe7bbd111bf7bcf4cd790d51891cdfb56c,,9.0,934,289,308,1,6,47,157,262,780,0.178707,0.201024,0.020833,0.037975,6,27,57,16,0.333333,0.360759,"The proposal suggests setting aside a Marketing and Business Development budget of 5,250,000 GEL (around 2.5% of the initial funds of the Gelato crypto project). This will be used to improve marke...","The proposal suggests allocating a budget of 5,250,000.00 GEL, which is about 2.5% of the initial DAO treasury, for marketing and business development activities. This budget will be used to start..."
9,10,Release G-UNI as separate DAO from Gelato & rebrand it as Arrakis,4,"The proposal is to vote on whether G-UNI should be spun out of Gelato into its own separate DAO called Arrakis. There are 2 different options that can be voted on, and each option has a different ...",The proposal is to vote on whether G-UNI should be spun out of Gelato into its own separate DAO called Arrakis. There are two options that can be voted on if you are in favour of releasing G-UNI. ...,Proposal to vote on whether G-UNI should be spinning out of Gelato into its own separate DAO called Arrakis. See this forum post for a general outline about this proposal: [link] There are 2 optio...,1648202428000,1648458028000,0xaabb54394e8dd61dd70897e9c80be8de7c64a895,1658239948108,0x4e583d24a09e2937c6020c3bc86fad37b9d41093e5f4f3f3e0a19767ebf28a20,,https://snapshot.org/#/gelato.eth/proposal/0x4e583d24a09e2937c6020c3bc86fad37b9d41093e5f4f3f3e0a19767ebf28a20,,10.0,1305,483,219,2,7,41,235,180,1077,0.226519,0.217996,0.047619,0.029661,4,68,78,20,0.476190,0.330508,"This proposal is about deciding if G-UNI should separate from Gelato and create its own group known as Arrakis. You can vote on two options, both supporting the split. The options outline differen...",There is a proposal to vote on whether G-UNI should become its own separate DAO called Arrakis. There are two options to choose from: Option 1 and Option 2. These options outline how the token dis...
