step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.25838,0.55396,1.44186,0.62424
2,1.7447,0.68627,,
3,2.05461,0.66129,,
4,1.44616,0.73913,,
5,1.47229,0.7093,,
6,1.3695,0.70779,,
7,1.18481,0.80909,,
8,2.02218,0.65116,,
9,1.37813,0.75817,,
10,1.72311,0.69811,,
11,2.11948,0.62273,,
12,2.05044,0.65833,,
13,2.491,0.56842,,
14,1.77692,0.69355,,
15,1.80911,0.66667,,
16,0.52008,0.86667,,
17,2.7055,0.52041,,
18,2.33035,0.60377,,
19,1.84856,0.64171,,
20,1.70539,0.61667,,
21,1.57605,0.67797,,
22,1.03519,0.87179,,
23,1.67527,0.70056,,
24,1.65583,0.64516,,
25,1.29144,0.72892,,
26,1.77696,0.65278,,
27,1.58649,0.67333,,
28,1.38676,0.73171,,
29,1.88363,0.64407,,
30,1.73547,0.67033,,
31,3.78001,0.47727,,
32,1.64464,0.69091,,
33,1.60573,0.68444,,
34,1.70028,0.6625,,
35,1.47183,0.73404,,
36,1.92403,0.57669,,
37,0.9231,0.84259,,
38,1.47589,0.69106,,
39,1.3411,0.71134,,
40,1.42236,0.71233,,
41,0.57863,0.90909,,
42,1.23557,0.72566,,
43,1.43168,0.6568,,
44,0.51617,0.85455,,
45,1.49861,0.64211,,
46,1.72115,0.65,,
47,1.45859,0.59231,,
48,1.45166,0.64356,,
49,1.17259,0.7377,,
50,1.13214,0.71711,,
51,1.41069,0.66176,,
52,1.18648,0.68182,,
53,0.86759,0.7541,,
54,0.5729,0.93103,,
55,1.0019,0.70476,,
56,0.96254,0.71831,,
57,0.87501,0.7767,,
58,1.4279,0.64804,,
59,0.51378,0.78125,,
60,0.84538,0.74118,,
61,1.67935,0.52809,,
62,0.78991,0.70423,,
63,0.95911,0.7451,,
64,1.21428,0.65,,
65,1.25381,0.67614,,
66,1.12322,0.66667,,
67,0.89786,0.77049,,
68,0.73411,0.7874,,
69,1.04931,0.63492,,
70,0.8429,0.78022,,
71,1.32469,0.54839,,
72,0.21023,0.94937,,
73,1.13866,0.62295,,
74,1.27117,0.58904,,
75,0.93359,0.71942,,
76,1.12333,0.64912,,
77,1.06497,0.72131,,
78,1.16154,0.67669,,
79,0.82918,0.78488,,
80,0.67436,0.77143,,
81,1.18758,0.6748,,
82,0.67927,0.77143,,
83,0.98486,0.70504,,
84,1.38164,0.60432,,
85,1.1466,0.67059,,
86,1.09253,0.73793,,
87,0.76938,0.79167,,
88,1.08931,0.69347,,
89,0.8335,0.792,,
90,0.74197,0.74576,,
91,0.54987,0.84783,,
92,0.46923,0.8481,,
93,1.02466,0.73659,,
94,1.12304,0.67027,,
95,0.85858,0.78788,,
96,0.85712,0.78095,,
97,1.27258,0.60674,,
98,0.38591,0.84375,,
99,0.88492,0.82576,,
100,0.97434,0.69298,,
101,0.48226,0.85938,1.06009,0.64815
102,0.91836,0.71171,,
103,0.87061,0.79661,,
104,1.22269,0.68468,,
105,1.25569,0.68539,,
106,1.4402,0.55844,,
107,1.19408,0.68493,,
108,0.98547,0.67133,,
109,1.3173,0.57798,,
110,0.9531,0.75,,
111,1.46283,0.62319,,
112,1.38061,0.65414,,
113,0.89704,0.73196,,
114,0.61047,0.7913,,
115,0.73571,0.75532,,
116,0.88574,0.72519,,
117,0.7776,0.79389,,
118,1.04355,0.6831,,
119,1.13098,0.68519,,
120,0.61996,0.78,,
121,0.5518,0.77778,,
122,0.82697,0.71795,,
123,0.8655,0.79381,,
124,0.58713,0.82576,,
125,1.06992,0.672,,
126,0.94818,0.66292,,
127,0.89271,0.6962,,
128,0.94831,0.68794,,
129,1.02464,0.66265,,
130,0.99122,0.70229,,
131,0.89667,0.71717,,
132,0.93677,0.72165,,
133,0.73638,0.75862,,
134,0.47551,0.88406,,
135,1.05206,0.66102,,
136,1.45036,0.54545,,
137,0.55062,0.81538,,
138,0.80714,0.73913,,
139,0.33911,0.93878,,
140,0.89466,0.75393,,
141,1.00463,0.69792,,
142,1.16164,0.71831,,
143,1.10479,0.70085,,
144,0.75574,0.73134,,
145,1.10723,0.70079,,
146,0.16331,0.93939,,
147,0.67671,0.73016,,
148,0.9004,0.71591,,
149,0.87004,0.74468,,
150,0.75129,0.76471,,
151,0.73377,0.80769,,
152,1.45783,0.61314,,
153,1.32428,0.59701,,
154,0.80364,0.75,,
155,1.05772,0.65,,
156,0.87214,0.7563,,
157,0.78585,0.71795,,
158,1.41072,0.66667,,
159,0.65482,0.79661,,
160,0.75437,0.77778,,
161,0.92001,0.75,,
162,0.69269,0.78986,,
163,0.83772,0.73529,,
164,0.43259,0.89231,,
165,1.05922,0.66957,,
166,0.90268,0.73427,,
167,1.21752,0.65217,,
168,0.8202,0.7483,,
169,1.07989,0.62963,,
170,0.36121,0.85714,,
171,0.70455,0.77647,,
172,1.19106,0.65657,,
173,1.15415,0.72034,,
174,0.83261,0.7561,,
175,1.08133,0.69565,,
176,1.45901,0.6,,
177,0.95908,0.74265,,
178,0.81893,0.74026,,
179,0.44593,0.83333,,
180,0.98965,0.69536,,
181,0.65392,0.77477,,
182,0.97809,0.71053,,
183,0.79432,0.74138,,
184,1.03452,0.64865,,
185,1.15694,0.63725,,
186,0.24151,0.92647,,
187,1.24805,0.66154,,
188,0.93073,0.75229,,
189,0.88723,0.72441,,
190,0.7661,0.71875,,
191,0.70244,0.76531,,
192,0.7067,0.7931,,
193,0.73835,0.79021,,
194,0.90139,0.70238,,
195,1.14036,0.70079,,
196,0.91314,0.71264,,
197,0.77377,0.69149,,
198,1.03384,0.71074,,
199,1.16243,0.63918,,
200,0.77253,0.74038,,
201,1.05816,0.68033,0.69013,0.68852
202,1.29049,0.65942,,
203,0.55296,0.76923,,
204,0.92575,0.76364,,
205,0.71175,0.78014,,
206,0.60049,0.74026,,
207,0.7764,0.75556,,
208,0.97331,0.75,,
209,0.97983,0.70552,,
210,0.23551,0.95745,,
211,1.10456,0.712,,
212,0.68362,0.77922,,
213,0.78483,0.73333,,
214,0.67606,0.78049,,
215,0.18303,0.94118,,
216,0.59941,0.83486,,
217,0.95543,0.73196,,
218,0.14006,0.95833,,
219,1.20025,0.67066,,
220,0.89186,0.72868,,
221,0.64091,0.83158,,
222,0.53873,0.85,,
223,0.76212,0.80169,,
224,1.35474,0.62112,,
225,1.12687,0.66216,,
226,0.80808,0.66667,,
227,1.13965,0.71839,,
228,0.99886,0.6988,,
229,1.87512,0.55862,,
230,0.86301,0.74815,,
231,0.22028,0.875,,
232,1.07724,0.63333,,
233,0.94751,0.74257,,
234,1.148,0.72115,,
235,0.9536,0.67273,,
236,0.81204,0.78146,,
237,1.39408,0.61728,,
238,1.21206,0.61538,,
239,0.91146,0.71654,,
240,1.1286,0.65101,,
241,0.71237,0.76136,,
242,0.81941,0.75,,
243,0.88356,0.78846,,
244,0.93754,0.73881,,
245,0.9104,0.73958,,
246,1.14079,0.71818,,
247,1.0401,0.7415,,
248,0.62624,0.81553,,
249,0.25779,0.92424,,
250,1.03513,0.72,,
251,1.26058,0.63393,,
252,0.31879,0.89583,,
253,0.97226,0.72477,,
254,0.61571,0.8254,,
255,1.19866,0.67805,,
256,0.71603,0.73451,,
257,1.24957,0.69737,,
258,0.03367,1.0,,
259,1.22997,0.60484,,
260,0.66866,0.75926,,
261,1.19915,0.71171,,
262,0.61702,0.8,,
263,1.35869,0.584,,
264,0.90334,0.784,,
265,0.66557,0.82906,,
266,0.96413,0.71123,,
267,1.15713,0.66225,,
